reference,country_name,hdi_category,indicator_name,values
,Bolivia,MEDIUM HUMAN DEVELOPMENT,HDI rank,117
,Guatemala,MEDIUM HUMAN DEVELOPMENT,HDI rank,118
,Gabon,MEDIUM HUMAN DEVELOPMENT,HDI rank,119
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,HDI rank,120
,South Africa,MEDIUM HUMAN DEVELOPMENT,HDI rank,121
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,122
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,HDI rank,123
,Botswana,MEDIUM HUMAN DEVELOPMENT,HDI rank,124
,Namibia,MEDIUM HUMAN DEVELOPMENT,HDI rank,125
,Morocco,MEDIUM HUMAN DEVELOPMENT,HDI rank,126
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,127
,India,MEDIUM HUMAN DEVELOPMENT,HDI rank,128
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,HDI rank,129
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,HDI rank,130
,Cambodia,MEDIUM HUMAN DEVELOPMENT,HDI rank,131
,Myanmar,MEDIUM HUMAN DEVELOPMENT,HDI rank,132
,Bhutan,MEDIUM HUMAN DEVELOPMENT,HDI rank,133
,Comoros,MEDIUM HUMAN DEVELOPMENT,HDI rank,134
,Ghana,MEDIUM HUMAN DEVELOPMENT,HDI rank,135
,Pakistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,136
,Mauritania,MEDIUM HUMAN DEVELOPMENT,HDI rank,137
,Lesotho,MEDIUM HUMAN DEVELOPMENT,HDI rank,138
,Congo,MEDIUM HUMAN DEVELOPMENT,HDI rank,139
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,HDI rank,140
,Swaziland,MEDIUM HUMAN DEVELOPMENT,HDI rank,141
,Nepal,MEDIUM HUMAN DEVELOPMENT,HDI rank,142
,Madagascar,MEDIUM HUMAN DEVELOPMENT,HDI rank,143
,Cameroon,MEDIUM HUMAN DEVELOPMENT,HDI rank,144
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,145
,Haiti,MEDIUM HUMAN DEVELOPMENT,HDI rank,146
,Sudan,MEDIUM HUMAN DEVELOPMENT,HDI rank,147
,Kenya,MEDIUM HUMAN DEVELOPMENT,HDI rank,148
,Djibouti,MEDIUM HUMAN DEVELOPMENT,HDI rank,149
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,HDI rank,150
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,HDI rank,151
,Togo,MEDIUM HUMAN DEVELOPMENT,HDI rank,152
,Yemen,MEDIUM HUMAN DEVELOPMENT,HDI rank,153
,Uganda,MEDIUM HUMAN DEVELOPMENT,HDI rank,154
,Gambia,MEDIUM HUMAN DEVELOPMENT,HDI rank,155
,Senegal,LOW HUMAN DEVELOPMENT,HDI rank,156
,Eritrea,LOW HUMAN DEVELOPMENT,HDI rank,157
,Nigeria,LOW HUMAN DEVELOPMENT,HDI rank,158
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,HDI rank,159
,Guinea,LOW HUMAN DEVELOPMENT,HDI rank,160
,Rwanda,LOW HUMAN DEVELOPMENT,HDI rank,161
,Angola,LOW HUMAN DEVELOPMENT,HDI rank,162
,Benin,LOW HUMAN DEVELOPMENT,HDI rank,163
,Malawi,LOW HUMAN DEVELOPMENT,HDI rank,164
,Zambia,LOW HUMAN DEVELOPMENT,HDI rank,165
,Côte d'Ivoire,LOW HUMAN DEVELOPMENT,HDI rank,166
,Burundi,LOW HUMAN DEVELOPMENT,HDI rank,167
,Congo (Democratic Republic of the),LOW HUMAN DEVELOPMENT,HDI rank,168
,Ethiopia,LOW HUMAN DEVELOPMENT,HDI rank,169
,Chad,LOW HUMAN DEVELOPMENT,HDI rank,170
,Central African Republic,,HDI rank,171
,Mozambique,,HDI rank,172
,Mali,,HDI rank,173
,Niger,,HDI rank,174
,Guinea-Bissau,,HDI rank,175
,Burkina Faso,,HDI rank,176
,Sierra Leone,,HDI rank,177
,Iceland,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.0
,Norway,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,33.2
,Australia,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,278.5
,Canada,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,415.8
,Ireland,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,30.6
,Sweden,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,49.5
,Switzerland,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,42.7
,Japan,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,"1,070.7"
,Netherlands,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,141.0
,France,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,363.8
,Finland,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,51.2
,United States,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,"4,818.3"
,Spain,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,212.1
,Denmark,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,49.8
,Austria,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,57.6
,United Kingdom,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,579.4
,Belgium,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,100.6
,Luxembourg,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,9.9
,New Zealand,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,22.6
,Italy,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,389.7
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,26.2
,Germany,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,980.4
,Israel,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,33.1
,Greece,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,72.4
,Singapore,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,45.1
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,241.2
,Slovenia,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,12.3
,Cyprus,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,4.6
,Portugal,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,42.3
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,5.8
,Barbados,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,1.1
,Czech Republic,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,138.4
,Kuwait,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,43.4
,Malta,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.2
,Qatar,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,12.2
,Hungary,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,60.1
,Poland,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,347.6
,Argentina,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,109.7
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,54.7
,Chile,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,35.6
,Bahrain,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,11.7
,Slovakia,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,44.3
,Lithuania,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,21.4
,Estonia,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,24.9
,Latvia,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,12.7
,Uruguay,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,3.9
,Croatia,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,17.4
,Costa Rica,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.9
,Bahamas,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,1.9
,Seychelles,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Cuba,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,32.0
,Mexico,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,413.3
,Bulgaria,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,75.3
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Tonga,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,37.8
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.3
,Oman,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,10.3
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,16.9
,Romania,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,155.1
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,254.8
,Panama,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,3.1
,Malaysia,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,55.3
,Belarus,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,94.6
,Mauritius,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,1.5
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,4.7
,Russian Federation,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,"1,984.1"
,Albania,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,7.3
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,10.6
,Brazil,HIGH HUMAN DEVELOPMENT,Total (Mt CO2)_1990,209.5
,Dominica,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.2
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,259.2
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,117.4
,Colombia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,58.0
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,600.0
,Samoa,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Thailand,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,95.7
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,9.6
,Belize,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.3
,China,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,"2,398.9"
,Grenada,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Armenia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,3.7
,Turkey,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,146.2
,Suriname,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,1.8
,Jordan,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,10.2
,Peru,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,21.0
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,9.1
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,16.7
,Philippines,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,43.9
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,13.3
,Fiji,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.8
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,218.3
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.3
,Georgia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,15.1
,Guyana,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,1.1
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,49.8
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,3.8
,Maldives,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.2
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,8.0
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.6
,Algeria,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,77.0
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,21.4
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,..
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,213.8
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,35.9
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,28.0
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.6
,Moldova,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,20.9
,Egypt,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,75.4
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,118.1
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,10.0
,Honduras,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.6
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,11.0
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,5.5
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,5.1
,Gabon,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,6.0
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,South Africa,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,331.8
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,20.6
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Botswana,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.2
,Namibia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,(.)
,Morocco,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,23.5
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,India,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,681.7
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.2
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.2
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.5
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,4.3
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Comoros,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Ghana,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,3.8
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,68.0
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.6
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,..
,Congo,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,1.2
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,15.4
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.4
,Nepal,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.6
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.9
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,1.6
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.4
,Haiti,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,1.0
,Sudan,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,5.4
,Kenya,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,5.8
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.4
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,..
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,16.6
,Togo,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.8
,Yemen,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,10.1
,Uganda,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.8
,Gambia,MEDIUM HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.2
,Senegal,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,3.1
,Eritrea,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,..
,Nigeria,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,45.3
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.3
,Guinea,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,1.0
,Rwanda,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.5
,Angola,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,4.6
,Benin,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.7
,Malawi,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.6
,Zambia,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,2.4
,Côte d'Ivoire,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,5.4
,Burundi,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.2
,Congo (Democratic Republic of the),LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,4.0
,Ethiopia,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,3.0
,Chad,LOW HUMAN DEVELOPMENT,Total (Mt CO2)_1990,0.1
,Central African Republic,,Total (Mt CO2)_1990,0.2
,Mozambique,,Total (Mt CO2)_1990,1.0
,Mali,,Total (Mt CO2)_1990,0.4
,Niger,,Total (Mt CO2)_1990,1.0
,Guinea-Bissau,,Total (Mt CO2)_1990,0.2
